[2025-05-08 12:16:06] ACTION: CREATE | BOOK: ss
[2025-05-08 12:21:11] ACTION: CREATE | BOOK: gg
[2025-05-08 12:54:44] ACTION: UPDATE | BOOK: Updated Book Title
[2025-05-08 12:57:23] ACTION: UPDATE | BOOK: Updated Book Title
[2025-05-08 13:00:04] ACTION: UPDATE | BOOK: 
[2025-05-08 13:00:57] ACTION: UPDATE | BOOK: 
[2025-05-08 13:04:14] ACTION: UPDATE | BOOK: 
[2025-05-08 13:07:15] ACTION: UPDATE | BOOK: 
[2025-05-08 13:08:48] ACTION: UPDATE | BOOK: 
[2025-05-08 13:09:12] ACTION: UPDATE | BOOK: 
[2025-05-08 13:25:53] ACTION: UPDATE | BOOK: 
[2025-05-08 13:31:55] ACTION: DELETE | BOOK: Book ID 1
[2025-05-08 13:39:10] ACTION: UPDATE | BOOK: 
[2025-05-08 13:43:26] ACTION: UPDATE | BOOK: 
[2025-05-08 13:44:51] ACTION: UPDATE | BOOK: 
[2025-05-08 13:45:11] ACTION: UPDATE | BOOK: 
[2025-05-08 13:50:04] ACTION: UPDATE | BOOK: 
[2025-05-08 14:00:33] ACTION: UPDATE | BOOK: 
[2025-05-08 14:10:17] ACTION: CREATE | BOOK: gff
[2025-05-08 18:17:30] ACTION: CREATE | BOOK: cc
[2025-05-13 22:46:43] ACTION: CREATE | BOOK: knm
[2025-05-13 22:51:27] ACTION: CREATE | BOOK: zeguara
[2025-05-13 22:51:48] ACTION: DELETE | BOOK: Book ID 1
[2025-05-13 23:42:50] ACTION: CREATE | BOOK: Emegua
[2025-05-14 00:05:32] ACTION: CREATE | BOOK: Merbebet
[2025-05-14 00:08:05] ACTION: CREATE | BOOK: ፍቅር እስከ መቃብር 
[2025-05-14 00:09:26] ACTION: CREATE | BOOK: መርበብት
[2025-05-14 00:09:43] ACTION: DELETE | BOOK: Book ID 4
[2025-05-14 01:38:29] ACTION: CREATE | BOOK:  አለመኖር
[2025-05-14 01:42:03] ACTION: CREATE | BOOK: ሐሽማል
